seed,model_year_index,model_day,month,day_in_month,temperature_mean_c,temperature_max_c,temperature_min_c,precipitation_total_mm,sunshine_equivalent_hours,humidity_pct,wind_m_s,snow_cover_day,ice_day,frost_day,summer_day,heat_day,precip_day_ge_1mm,precip_day_ge_5mm,precip_day_ge_10mm,precip_day_ge_50mm
3263,0,182,7,2,20.806458333333335,28.562,11.966,0.0,6.577,69.65379166666666,2.1016666666666666,False,False,False,True,False,False,False,False,False
3263,0,183,7,3,17.208291666666668,23.013,11.413,0.0,5.739,72.442875,2.136083333333333,False,False,False,False,False,False,False,False,False
3263,0,184,7,4,15.447791666666667,21.177,9.867,9.436,5.742999999999999,75.30270833333334,2.1366666666666667,False,False,False,False,False,True,True,False,False
3263,0,185,7,5,19.090958333333333,28.227,11.055,20.043,7.298,73.97608333333334,1.7982500000000001,False,False,False,True,False,True,True,True,False
3263,0,186,7,6,16.912458333333333,24.817,8.254,0.0,10.462,72.02979166666667,1.6969583333333331,False,False,False,False,False,False,False,False,False
3263,0,187,7,7,19.29125,28.597,11.02,0.0,5.008,69.56512500000001,1.9350833333333333,False,False,False,True,False,False,False,False,False
3263,0,188,7,8,18.260875000000002,26.068,9.249,3.187,11.014,71.15291666666667,1.8499999999999999,False,False,False,True,False,True,False,False,False
3263,0,189,7,9,17.808791666666668,23.821,10.453,0.0,3.265,70.08879166666667,1.7968333333333335,False,False,False,False,False,False,False,False,False
3263,0,190,7,10,17.598041666666667,24.875,6.582,7.177,6.483,72.49775,1.7437500000000001,False,False,False,False,False,True,True,False,False
3263,0,191,7,11,21.868166666666667,30.21,14.658,3.907,9.645,69.37558333333332,1.9702916666666666,False,False,False,True,True,True,False,False,False
3263,0,192,7,12,17.79675,22.354,11.626,0.0,9.569,71.51879166666667,2.129916666666667,False,False,False,False,False,False,False,False,False
3263,0,193,7,13,18.230625,26.341,11.232,3.694,1.857,72.08575,1.86725,False,False,False,True,False,True,False,False,False
3263,0,194,7,14,18.951249999999998,26.23,11.546,0.0,10.796,69.31025,1.7907083333333331,False,False,False,True,False,False,False,False,False
