"participant_id","time_point","consent","attention_check_flag","occupational_status","occupational_status_other","automaticity","pa_specific_self_control","action_planning","intention","perceived_behavioral_control","attitude","subjective_norm","intrinsic_motivation","motivational_competence","workload_hours_per_week","holiday_weeks","stress_weeks","care_work_hours_per_week","social_hours_per_week","pa_mvpa_hours_per_week","pa_total_hours_per_week","wake_time_minutes","work_start_time_minutes","work_end_time_minutes","bed_time_minutes","break_duration_minutes","leisure_duration_minutes","workplace_distance_km","indoor_activity_distance_km","outdoor_activity_distance_km","residential_sealing","residential_nature_access","residential_active_routes","residence_size_ordinal","age_years","income_ordinal","household_size","household_minors","normal_weeks_raw","phase_weeks_compatible"
"7255",1,"Ja",0,"Sonstiges","Berufsbegleitendes Studium",0.208333333333333,0.25,0.6,0.888888888888889,0.541666666666667,0.833333333333333,0.555555555555555,0.5,0.6875,40,2,10,4,1,3,4.75,270,420,1200,1290,60,180,70,1,1,5,1,1,2,28.830160783589,10,1,0,40,TRUE
"7284",1,"Ja",0,"Studium",,0.375,0.416666666666667,0.6,0.388888888888889,0.625,0.533333333333333,0.611111111111111,0.416666666666667,0.375,16,5,4,8,32,0.333333333333333,1,510,540,1020,1380,150,390,5,10,2,2,1,1,3,29.3914317200216,1,2,0,43,TRUE
"7289",1,"Ja",0,"Sonstiges","Vollzeit Studium, Teilzeit Arbeit",0,0.416666666666667,0.75,0.611111111111111,0.875,0.766666666666667,0.638888888888889,0.5,0.6875,40,5,8,0,40,1.25,8.25,540,600,1080,1500,45,360,1.5,1,1.5,2,3,1,4,25.6185958643915,4,1,0,39,TRUE
"7305",1,"Ja",0,"Angestellt",,0.333333333333333,0,0.45,0.333333333333333,0.708333333333333,0.966666666666667,0.777777777777778,1,0.625,24,6,4,5,35,0.333333333333333,2.83333333333333,345,450,1050,1320,45,120,40,20,1,3,3,2,2,51.1988610306851,7,2,0,42,TRUE
"7308",1,"Ja",0,"Studium",,0.291666666666667,0.916666666666667,0.5,0.833333333333333,0.666666666666667,0.866666666666667,0.694444444444445,0.75,0.625,40,13,8,0,7,5.66666666666667,19.6666666666667,390,495,960,1335,15,270,66.6,0.7,1,4,2,1,2,20.8299965091686,1,4,0,31,TRUE
"7330",1,"Ja",0,"Sonstiges","Pension",0.416666666666667,0.833333333333333,0.4,0.888888888888889,0.708333333333333,0.966666666666667,0.666666666666667,0.833333333333333,0.9375,0,52,2,14,30,7.5,14.5,540,545,550,1380,840,840,0,0.2,0.1,2,1,1,3,67.4702423732178,9,2,0,-2,FALSE
"7351",1,"Ja",0,"Angestellt",,0.0833333333333333,0.25,0.6,0.666666666666667,0.583333333333333,0.733333333333333,0.444444444444444,0.75,0.25,36,6,30,3,24,4.5,11.5,405,480,1065,1425,90,120,3,0.5,0.2,2,1,2,3,38.4785450762165,10,1,0,16,TRUE
"7357",1,"Ja",0,"Angestellt",,0.0833333333333333,0.0833333333333333,0,0.222222222222222,0.541666666666667,1,0.555555555555555,0.833333333333333,1,24,5,20,44,10,2,9,360,435,1060,1320,60,30,20,5,0.5,3,2,1,1,43.9297179271306,10,4,2,27,TRUE
"7360",1,"Ja",0,"Studium",,0.125,0.166666666666667,0,0.555555555555555,0.958333333333333,0.766666666666667,0.694444444444445,0.416666666666667,0.6875,40,19,6,0,40,2.33333333333333,7.58333333333333,540,600,960,1500,90,420,5.7,5.6,1,3,2,1,4,23.6089721212619,1,4,0,27,TRUE
"7363",1,"Ja",0,"Angestellt",,0.208333333333333,0.166666666666667,0.65,0.5,0.791666666666667,0.6,0.444444444444444,0.0833333333333333,0.5,40,6,20,14,7,0.5,3.5,345,480,1080,1320,60,0,60,15,0.5,4,2,1,3,44.8578684024997,3,4,2,26,TRUE
